樣品名稱,熱量,粗蛋白,粗脂肪,飽和脂肪,總碳水化合物,膳食纖維,糖質總量,鈉,膽固醇,反式脂肪
冷凍火腿炒飯,189,5.0,5.6,1.1,29.7,2.0,,220,37,
冷凍蝦仁炒飯,148,4.7,3.4,0.5,24.6,2.7,1.3,222,11,13.41
冷凍筒仔米糕,212,6.5,5.8,2.2,33.6,0.7,,331,13,
冷凍芝麻湯圓,352,4.8,16.3,6.6,46.7,0.9,9.7,3,0,69.29
冷凍花生湯圓,350,5.2,15.6,7.3,47.1,0.6,9.8,6,0,66.28
冷凍豬肉湯圓,281,6.5,12.1,5.1,36.6,0.4,1.8,210,14,45.10
冷凍烏龍麵,129,3.4,0.3,0.1,28.2,1.5,0.4,192,0,0.00
冷凍牛肉水餃,215,8.9,9.7,3.3,23.1,1.2,2.6,383,18,68.08
冷凍豬肉水餃,208,8.1,9.7,3.4,22.1,0.9,,447,25,
冷凍豬肉韭菜水餃,229,8.4,11.5,4.2,23.0,1.8,1.8,439,31,32.38
冷凍豬肉蟹黃水餃,223,7.8,9.8,3.0,26.0,1.4,,472,17,
冷凍香菇雞肉水餃,221,9.5,10.2,3.5,22.7,2.3,,350,17,
冷凍素食水餃,175,8.7,4.1,1.1,25.8,2.8,3.2,369,0,37.66
冷凍鮪魚水餃,196,9.0,8.5,3.3,20.8,1.3,,275,19,
冷凍豬肉熟水餃,235,7.2,10.1,3.5,28.9,2.1,1.0,333,17,26.95
冷凍素食熟水餃,209,7.2,5.4,0.9,32.9,2.3,2.8,491,,47.17
冷凍冬菜蝦仁餛飩,191,9.1,6.3,2.1,24.5,2.3,1.6,316,44,39.61
冷凍豬肉餛飩,240,11.1,12.6,4.5,20.5,2.8,1.9,428,24,54.93
冷凍菜肉餛飩,236,9.1,16.3,5.7,13.3,4.2,0.9,693,,67.57
冷凍叉燒包,266,8.8,4.8,1.7,47.0,1.3,14.8,167,12,7.03
冷凍酸菜焢肉包子,301,8.6,13.1,5.2,37.2,2.1,,343,23,
冷凍芋泥包,263,6.6,3.6,1.4,51.1,2.4,11.6,46,0,25.47
冷凍豆沙包,247,7.4,1.1,0.5,51.8,1.7,13.2,60,,3.54
冷凍芝麻包,341,7.2,11.7,4.4,51.7,0.6,11.4,24,9,28.01
冷凍蓮蓉包,292,7.9,5.5,2.3,52.8,2.4,,82,7,
冷凍叉燒包子,267,7.1,6.1,2.1,46.0,2.3,9.8,210,9,14.33
冷凍牛肉包子,269,10.8,4.6,2.5,46.1,1.8,,261,16,
冷凍豬肉包子,266,7.6,9.2,3.5,38.2,1.5,6.4,230,14,8.72
冷凍豬肉湯包,235,10.1,14.3,4.9,16.3,3.0,1.6,447,36,82.96
冷凍素菜包子,234,8.6,3.8,1.4,41.4,1.1,3.7,244,,22.18
冷凍白饅頭,279,7.4,2.4,1.4,57.0,2.3,,91,,
冷凍銀絲卷(奶黃),283,8.9,3.3,1.6,54.5,2.2,,11,0,
冷凍披薩(黑胡椒火腿),210,9.3,6.8,3.9,27.7,2.0,,405,15,
冷凍蔥油餅,258,9.1,3.1,1.2,48.5,1.3,2.4,602,9,31.01
冷凍蛋餅皮,231,5.7,3.7,1.4,43.7,1.3,4.4,291,4,
